Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
50.0,269000,tampella,2022,Kerrostalo
50.0,264000,tampella,2022,Kerrostalo
50.0,259000,tampella,2022,Kerrostalo
50.0,244000,tampella,2022,Kerrostalo
25.0,149000,tampella,2022,Kerrostalo
50.0,224000,tampella,2022,Kerrostalo
55.5,267000,tampella,2022,Kerrostalo
55.5,287000,tampella,2022,Kerrostalo
32.5,204000,tampella,2022,Kerrostalo
32.5,219000,tampella,2022,Kerrostalo
32.5,229000,tampella,2022,Kerrostalo
32.5,224000,tampella,2022,Kerrostalo
25.0,158000,tampella,2022,Kerrostalo
32.5,221000,tampella,2022,Kerrostalo
32.5,196000,tampella,2022,Kerrostalo
32.5,199000,tampella,2022,Kerrostalo
32.5,216000,tampella,2022,Kerrostalo
32.5,224000,tampella,2022,Kerrostalo
32.5,213000,tampella,2022,Kerrostalo
32.5,218000,tampella,2022,Kerrostalo
32.5,210000,tampella,2022,Kerrostalo
32.5,215000,tampella,2022,Kerrostalo
32.5,193000,tampella,2022,Kerrostalo
52.0,305000,tampella,2022,Kerrostalo
32.5,212000,tampella,2022,Kerrostalo
32.5,184000,tampella,2022,Kerrostalo
32.5,187000,tampella,2022,Kerrostalo
32.5,190000,tampella,2022,Kerrostalo
52.0,288000,tampella,2022,Kerrostalo
52.0,298000,tampella,2022,Kerrostalo
32.5,195000,tampella,2022,Kerrostalo
32.5,209000,tampella,2022,Kerrostalo
52.0,293000,tampella,2022,Kerrostalo
52.5,278000,tampella,2022,Kerrostalo
52.0,283000,tampella,2022,Kerrostalo
41.5,252000,tampella,2022,Kerrostalo
41.5,245000,tampella,2022,Kerrostalo
52.5,235000,tampella,2022,Kerrostalo
46.5,216000,tampella,2022,Kerrostalo
41.5,241000,tampella,2022,Kerrostalo
41.5,199500,tampella,2022,Kerrostalo
41.5,237000,tampella,2022,Kerrostalo
41.5,214000,tampella,2022,Kerrostalo
41.5,229000,tampella,2022,Kerrostalo
111.0,629000,tampella,2022,Kerrostalo
41.5,233000,tampella,2022,Kerrostalo
89.0,539000,tampella,2022,Kerrostalo
118.5,649000,tampella,2022,Kerrostalo
111.0,619000,tampella,2022,Kerrostalo
81.0,409000,tammela,2015,Kerrostalo
76.5,255000,härmälänranta,2011,Kerrostalo
75.5,103800,tesoma,1980,Kerrostalo
86.5,159000,hervanta,1992,Kerrostalo
225.0,368000,alapispala,1952,Omakotitalo
64.0,241400,härmälä,2021,Kerrostalo
85.0,297000,vuores,2016,Rivitalo
55.0,177000,järvensivu,1962,Kerrostalo
53.5,208000,muotiala,2008,Luhtitalo
22.5,134000,niemenranta,2019,Kerrostalo
52.0,204200,hervanta,2021,Kerrostalo
173.0,320000,keskusta,2010,Kerrostalo
30.0,55000,nekala,1941,Kerrostalo
28.5,174200,santalahti,2022,Kerrostalo
77.5,326900,santalahti,2022,Kerrostalo
41.5,226500,santalahti,2022,Kerrostalo
41.5,224700,santalahti,2022,Kerrostalo
73.5,308900,santalahti,2022,Kerrostalo
26.5,177900,santalahti,2022,Kerrostalo
52.5,259900,santalahti,2022,Kerrostalo
31.5,183200,santalahti,2022,Kerrostalo
43.0,215900,santalahti,2022,Kerrostalo
28.5,169900,santalahti,2022,Kerrostalo
27.5,169900,santalahti,2022,Kerrostalo
27.0,168900,santalahti,2022,Kerrostalo
35.0,184900,santalahti,2022,Kerrostalo
27.0,168900,santalahti,2022,Kerrostalo
49.5,234900,santalahti,2022,Kerrostalo
41.5,209900,santalahti,2022,Kerrostalo
41.5,216600,santalahti,2022,Kerrostalo
41.0,208800,santalahti,2022,Kerrostalo
41.5,222600,santalahti,2022,Kerrostalo
41.5,218800,santalahti,2022,Kerrostalo
73.5,289800,santalahti,2022,Kerrostalo
