Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
66.0,154000,ikuri,1989,Kerrostalo
50.5,183000,kaleva,1957,Kerrostalo
79.0,127000,tesoma,1964,Kerrostalo
20.5,104500,annala,2022,Kerrostalo
60.0,139000,lukonmäki,1985,Rivitalo
40.0,248000,keskusta,1962,Kerrostalo
61.0,399000,ratina,2012,Kerrostalo
32.5,98000,vuores,2014,Luhtitalo
86.0,100000,tesoma,1966,Kerrostalo
20.0,142900,santalahti,2019,Kerrostalo
57.5,219000,tammela,1970,Kerrostalo
89.0,137000,lentävänniemi,1978,Kerrostalo
93.5,120000,multisilta,1974,Kerrostalo
33.5,89000,peltolammi,1990,Kerrostalo
43.5,189000,kaleva,2012,Kerrostalo
64.0,138000,uusikylä,1958,Kerrostalo
120.0,542000,keskusta,1937,Kerrostalo
62.5,258000,pyynikki,1990,Kerrostalo
48.5,119500,kaukajärvi,1966,Kerrostalo
86.0,134000,tesoma,1969,Kerrostalo
51.5,197000,tammela,1976,Kerrostalo
55.0,176000,kaleva,1964,Kerrostalo
31.5,144000,niemenranta,2016,Kerrostalo
42.5,130000,tesoma,2018,Kerrostalo
49.0,188000,hakametsä,2015,Luhtitalo
26.0,138900,härmälänranta,2018,Kerrostalo
24.0,165000,rantatampella,2018,Kerrostalo
64.0,241400,härmälä,2021,Kerrostalo
55.0,219000,niemenranta,2017,Kerrostalo
22.5,109900,annala,2022,Kerrostalo
43.0,195000,keskusta,1963,Kerrostalo
60.0,381400,rantatampella,2021,Kerrostalo
30.5,120000,tammela,1972,Kerrostalo
36.0,148000,peltolammi,2019,Kerrostalo
47.0,150000,kissanmaa,1961,Kerrostalo
67.0,435900,keskusta,2022,Kerrostalo
44.0,129000,leinola,2005,Kerrostalo
32.0,119000,kaleva,1958,Kerrostalo
290.0,565000,leinola,1975,Omakotitalo
46.4,205000,tammela,1930,Kerrostalo
85.0,133000,peltolammi,1966,Kerrostalo
75.5,269000,tammela,1983,Kerrostalo
32.0,91000,nekala,1941,Kerrostalo
43.5,297660,rantatampella,2020,Kerrostalo
36.0,272940,rantatampella,2020,Kerrostalo
26.0,191060,keskusta,2022,Kerrostalo
50.5,352480,keskusta,2022,Kerrostalo
47.5,331470,keskusta,2021,Kerrostalo
46.5,329580,keskusta,2021,Kerrostalo
68.0,422350,keskusta,2020,Kerrostalo
66.5,384660,keskusta,2020,Kerrostalo
35.5,198620,pyynikki,2020,Kerrostalo
25.0,149960,pyynikki,2020,Kerrostalo
84.0,800000,keskusta,1905,Kerrostalo
70.5,76500,multisilta,1978,Kerrostalo
86.0,445000,keskusta,1907,Kerrostalo
114.0,458000,onkiniemi,2004,Luhtitalo
55.0,177000,järvensivu,1962,Kerrostalo
33.5,122200,atala,2017,Kerrostalo
48.5,219000,kaleva,2018,Kerrostalo
29.5,142500,hervanta,2018,Kerrostalo
32.0,120000,kaleva,1958,Kerrostalo
57.5,239000,koivistonkylä,2022,Kerrostalo
89.5,259000,annala,1999,Paritalo
92.0,235900,janka,1991,Kerrostalo
81.0,215000,ryydynpohja,1977,Rivitalo
